発売日,出版社,シリーズ名・書名,著者,予価,
7,講談社,KCデラックス新本格魔法少女りすか（５）,絵本奈央／西尾維新,715,
7,講談社,KCデラックス劣等人の魔剣使い　スキルボードを駆使して最強に至る（６）,かのう寛人／萩鵜アキほか,715,
7,講談社,KCデラックス可愛いだけじゃない式守さん（19）,真木蛍五,715,
7,講談社,KCデラックス可愛いだけじゃない式守さん（20）,真木蛍五,715,
7,講談社,KCデラックスブラック国家を追放されたけど【全自動・英霊召喚】があるから何も困らない。～最強クラスの英霊1000体が知らないうちに仕事を片付けてくれるし、みんな優しくて居心地いいんで、今さら元の国には戻りません。～（６）,コバシコ／六志麻あさほか,726,
7,講談社,KCデラックス転生皇子が原作知識で世界最強（３）,小田童馬／相野仁,726,
7,講談社,シリウスKCバーサス（１）,ＯＮＥ／あずま京太郎ほか,748,
7,講談社,シリウスKCよくわからないけれど異世界に転生していたようです（16）,内々けやき／あしほか,715,
7,講談社,シリウスKC落ちこぼれだった兄が実は最強　～史上最強の勇者は転生し、学園で無自覚に無双する～（６）,村上よしゆき／茨木野ほか,715,
7,講談社,シリウスKCフルカラー版　クイーンズ・アカデミー（３）,いど,990,
7,講談社,シリウスKC鈴木転生（２）,渡邉たろう,748,
7,講談社,シリウスKCいつも馬鹿にしてくる美少女たちと絶縁したら、実は俺のことが大好きだったようだ。（１）,乃々木じぐ／歩く魚ほか,715,
7,講談社,シリウスKC異世界カード無双　魔神殺しのFランク冒険者（３）,桑野和明／菅原イチバほか,715,
7,講談社,シリウスKCわたしはツマミをあきらめない！（１）,小原ヨシツグ,715,
7,講談社,シリウスKCライドンキング（10）,馬場康誌,748,
7,講談社,シリウスKC野球で戦争する異世界で超高校級エースが弱小国家を救うようです。（７）,西田拓矢／海空りく,748,
7,講談社,シリウスKC時間停止勇者（12）,光永康則,748,
7,講談社,シリウスKCダンジョン・シェルパ　迷宮道先案内人（８）,刀坂アキラ／加茂セイほか,715,
7,講談社,モーニングKCドランク・インベーダー（２）,吉田優希／Ｒｏｏｔｐｏｒｔ,748,
7,講談社,講談社コミックストモダチゲーム（22）,佐藤友生／山口ミコト,528,
7,講談社,講談社コミックス八乙女×2（１）,氏家ト全,528,
7,講談社,講談社コミックスぼくらの葬列（１）,朝霧ユウキ,528,
7,講談社,講談社コミックスお願い、脱がシて。（15）,川中康嗣,528,
7,講談社,講談社コミックス中華一番！極（14）,小川悦司,528,
7,講談社,講談社コミックスおかえりアリス（６）,押見修造,528,
7,講談社,講談社コミックスWIND BREAKER（11）,にいさとる,528,
7,講談社,講談社コミックスFAIRY TAIL 100 YEARS QUEST（14）,真島ヒロ／上田敦夫,528,
7,講談社,講談社コミックスヒナとバンビ（１）,小牧まりあ,528,
7,講談社,講談社コミックス我間乱　―修羅―（25）,中丸洋介,528,
10,講談社,KCデラックスおとなりに銀河　公式コミックガイド,雨隠ギド／ｇｏｏｄ！アフタヌーン編集部ほか,1540,
12,講談社,モーニングKCこの世界は不完全すぎる（９）,左藤真通,726,
12,講談社,モーニングKC僕の奥さんはちょっと怖い（６）,栗田あぐり,726,
12,講談社,モーニングKC未熟なふたりでございますが（14）,カワハラ恋,726,
12,講談社,モーニングKC食糧人類Re：　―Starving Re：velation―（６）,イナベカズ／蔵石ユウほか,748,
12,講談社,モーニングKC仏恥義理ステッチ（１）,あおいましろう,715,
12,講談社,モーニングKCR15＋じゃダメですか？（４）,裏谷なぎ／岸谷轟,715,
12,講談社,星海社COMICS逆資本論,井上純一,未定,
13,講談社,BE LOVE KCおちたらおわり（９）,すえのぶけいこ,550,
13,講談社,BE LOVE KC過保護な若旦那様の甘やかし婚（４）,こだち,726,
13,講談社,BE LOVE KC転生勇者は女子高生！？～魔王の溺愛に困ってます～（１）,阿仁谷ユイジ,770,
13,講談社,BE LOVE KCこの恋、茶番につき！？（７）,山中梅鉢,726,
13,講談社,BE LOVE KC月読くんの禁断お夜食（３）,アサダニッキ,726,
13,講談社,KC KISSクジャクのダンス、誰が見た？（２）,浅見理都,726,
13,講談社,KC KISSやんごとなき一族（13）,こやまゆかり,550,
13,講談社,KC KISS余命一年、男をかう（３）,志真てら子／吉川トリコ,748,
13,講談社,KCデザート僕らの好きはわりきれない（１）,野切耀子,528,
