出版社,発売日,シリーズ名・書名,著者,予価,
講談社,8,シリウスKC,異世界賢者の魔族犯罪調査（１）,中島豊,748,
講談社,8,シリウスKC,窮鬼の仇花（３）,冬葉つがる,748,
講談社,8,シリウスKC,子供になった俺を妻がめちゃくちゃ愛でてくる　～曜路と乙菜の夫婦生活～（３）,次見やをら,693,
講談社,8,シリウスKC,老後に備えて異世界で8万枚の金貨を貯めます（10）,モトエ恵介／ＦＵＮＡほか,715,
講談社,8,シリウスKC,六姫は神護衛に恋をする　～最強の守護騎士、転生して魔法学園に行く～（８）,加古山寿／朱月十話ほか,715,
講談社,8,シリウスKC,紅灯のハンタマルヤ（２）,町田とし子,715,
講談社,8,シリウスKC,救わなきゃダメですか？　異世界（２）,タイジロウ／青山有ほか,715,
講談社,8,ワイドKC,黒猫と兵士（３）,蒼井万里,880,
講談社,8,講談社コミックス,復讐の教科書（13）,廣瀬俊／河野慶,528,
講談社,8,講談社コミックス,フォロワーが彼女になりました（３）,やまもと桃,528,
講談社,9,KCデラックス,幼馴染とはラブコメにならない（１）,三簾真也,715,
講談社,9,KCデラックス,味方が弱すぎて補助魔法に徹していた宮廷魔法師、追放されて最強を目指す（４）,門司雪／アルトほか,715,
講談社,9,KCデラックス,奴隷転生　～その奴隷、最強の元王子につき～（９）,原口鳳汰／カラユミほか,715,
講談社,9,KCデラックス,転生したら第七王子だったので、気ままに魔術を極めます（８）,石沢庸介／謙虚なサークルほか,715,
講談社,9,KCデラックス,さわらないで小手指くん（４）,シンジョウタクヤ,715,
講談社,9,KCデラックス,転生貴族、鑑定スキルで成り上がる　～弱小領地を受け継いだので、優秀な人材を増やしていたら、最強領地になってた～（８）,井上菜摘／未来人Ａほか,715,
講談社,9,KCデラックス,エルディアス・ロード　女神にもらった絶対死なない究極スキルで七つのダンジョンを攻略する（２）,澄守彩／髙田タカミほか,715,
講談社,9,KCデラックス,信じていた仲間達にダンジョン奥地で殺されかけたがギフト『無限ガチャ』でレベル9999の仲間達を手に入れて元パーティーメンバーと世界に復讐＆『ざまぁ！』します！（５）,大前貴史／明鏡シスイほか,715,
講談社,9,KCデラックス,魔法史に載らない偉人　～無益な研究だと魔法省を解雇されたため、新魔法の権利は独占だった～（１）,外ノ／秋,715,
講談社,9,KCデラックス,四十七大戦（12）,一二三,528,
講談社,9,モーニングKC,カイロスの猟犬（３）,長田龍伯,715,
講談社,9,モーニングKC,推しが隣で授業に集中できない！（７）,筒井テツ／菅原こゆび,726,
講談社,9,モーニングKC,東京ふたり暮らし（１）,井上まち,715,
講談社,9,モーニングKC,カノジョは絶対、ボクのこと好きなはず（２）,白井三二朗,715,
講談社,9,モーニングKC,ワケあって社長令嬢に拾われました（２）,灯,715,
講談社,9,モーニングKC,えちえちすぎる転生偉人美少女の性欲が強すぎてつらい（２）,ありしゃん,715,
講談社,9,モーニングKC,僕の奥さんはちょっと怖い（４）,栗田あぐり,715,
講談社,9,講談社コミックス,Fate/Grand Order ―turas realta―（13）,ＴＹＰＥ－ＭＯＯＮ／カワグチタケシ,528,
講談社,9,講談社コミックス,いじめるヤバイ奴（16）,中村なん,528,
講談社,9,講談社コミックス,イジらないで、長瀞さん（14）,ナナシ,528,
講談社,9,講談社コミックス,WIND BREAKER（８）,にいさとる,528,
