出版社,発売日,シリーズ名・書名,著者,予価,
講談社,9,KCデラックス,転生したら第七王子だったので、気ままに魔術を極めます（９）,石沢庸介／謙虚なサークルほか,715,
講談社,9,KCデラックス,味方が弱すぎて補助魔法に徹していた宮廷魔法師、追放されて最強を目指す（５）,門司雪／アルトほか,715,
講談社,9,KCデラックス,猫を拾った話。（３）,寺田亜太朗／本多八十二,1100,
講談社,9,KCデラックス,信じていた仲間達にダンジョン奥地で殺されかけたがギフト『無限ガチャ』でレベル9999の仲間達を手に入れて元パーティーメンバーと世界に復讐＆『ざまぁ！』します！（６）,大前貴史／明鏡シスイほか,715,
講談社,9,KCデラックス,四十七大戦（13）,一二三,715,
講談社,9,KCデラックス,転生貴族、鑑定スキルで成り上がる　～弱小領地を受け継いだので、優秀な人材を増やしていたら、最強領地になってた～（９）,井上菜摘／未来人Ａほか,715,
講談社,9,シリウスKC,超級装備（アウトロー・スキル）で無双して、異世界王に俺はなる！～OUTLAW PLAYERS～（１）,ＳＨＯＮＥＮ／原正人,748,
講談社,9,シリウスKC,ポンコツ風紀委員とスカート丈が不適切なJKの話（10）,横田卓馬,693,
講談社,9,シリウスKC,クラスの陰キャブス？　実は美人コスプレイヤーだった。（１）　みんな知らずに馬鹿にしてるけど。,塀流通留／藤井ふじこほか,693,
講談社,9,シリウスKC,よくわからないけれど異世界に転生していたようです（14）,内々けやき／あしほか,715,
講談社,9,シリウスKC,異世界魔王と召喚少女の奴隷魔術（19）,福田直叶／むらさきゆきやほか,748,
講談社,9,シリウスKC,独身貴族は異世界を謳歌する　～結婚しない男の優雅なおひとりさまライフ～（１）,錬金王／駒鳥ひわほか,748,
講談社,9,シリウスKC,窮鬼の仇花（４）,冬葉つがる,748,
講談社,9,シリウスKC,追放の賢者、世界を知る（３）　～幼馴染勇者の圧力から逃げて自由になった俺～,杉乃紘／深山鈴ほか,715,
講談社,9,シリウスKC,異世界マンチキン　―HP1のままで最強最速ダンジョン攻略―（７）,志瑞祐／青桐良,715,
